audio_stem;sari_total;sari_add;sari_keep;sari_del;bleu;bleu_precision_1;bleu_precision_2;bleu_precision_3;bleu_precision_4;bleu_brevity_penalty;bleu_length_ratio;bleu_translation_length;bleu_reference_length;rouge_1_f1;rouge_1_precision;rouge_1_recall;rouge_2_f1;rouge_2_precision;rouge_2_recall;rouge_l_f1;rouge_l_precision;rouge_l_recall;bertscore_precision;bertscore_recall;bertscore_f1;model_size;error
T0108G0320S0403;0,3045;0,0;0,9136;0,0;0,8633;0,8889;0,875;0,8571;0,8333;1,0;1,0;9;9;0,875;0,875;0,875;0,8571;0,8571;0,8571;0,875;0,875;0,875;0,9688;0,9661;0,9674;medium;
T0108G0320S0404;0,3333;0,0;1,0;0,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;7;7;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;medium;
T0108G0320S0406;0,3333;0,0;1,0;0,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;5;5;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;medium;
T0108G0320S0418;0,3333;0,0;1,0;0,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;5;5;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;medium;
T0108G0320S0419;0,3333;0,0;1,0;0,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;5;5;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;medium;
T0108G0320S0421;0,3333;0,0;1,0;0,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;5;5;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;medium;
T0108G0320S0424;0,3333;0,0;1,0;0,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;8;8;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;medium;
T0108G0320S0426;0,3333;0,0;1,0;0,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;9;9;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;medium;
T9108G0125Q0015;0,2616;0,0;0,7849;0,0;0,5946;0,875;0,7143;0,5;0,4;1,0;1,0;8;8;0,8571;0,8571;0,8571;0,6667;0,6667;0,6667;0,8571;0,8571;0,8571;0,9962;0,9962;0,9962;medium;
T9108G0125Q0019;0,2879;0,0;0,8638;0,0;0,6435;0,8571;0,6667;0,6;0,5;1,0;1,0;7;7;0,8333;0,8333;0,8333;0,8;0,8;0,8;0,8333;0,8333;0,8333;0,9774;0,9879;0,9826;medium;
T9108G0125Q0027;0,2677;0,0;0,8032;0,0;0,2832;0,7143;0,5;0,4;0,25;0,6514;0,7;7;10;0,7273;0,6667;0,8;0,6667;0,6;0,75;0,7273;0,6667;0,8;0,8985;0,8745;0,8863;medium;
T9108G0125Q0034;0,3333;0,0;1,0;0,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;5;5;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;medium;
T9108G0125Q0036;0,3333;0,0;1,0;0,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;7;7;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;medium;
T9108G0125Q0037;0,2677;0,0;0,8032;0,0;0,4117;1,0;0,8333;0,8;0,75;0,4895;0,5833;7;12;0,7273;0,6667;0,8;0,6667;0,6;0,75;0,7273;0,6667;0,8;0,9331;0,8572;0,8935;medium;
T9108G0125Q0048;0,3333;0,0;1,0;0,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;7;7;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;medium;
T9108G0128Q0007;0,25;0,0;0,75;0,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;4;4;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;medium;
T9108G0128Q0009;0,25;0,0;0,75;0,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;4;4;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;medium;
T9108G0128Q0011;0,25;0,0;0,75;0,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;4;4;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;medium;
T9108G0128Q0026;0,0972;0,0;0,2917;0,0;0,0;0,6;0,5;0,3333;0,0;1,0;1,0;5;5;0,5;0,5;0,5;0,3333;0,3333;0,3333;0,5;0,5;0,5;0,9014;0,8722;0,8865;medium;
T9108G0128Q0030;0,0972;0,0;0,2917;0,0;0,0;0,6;0,5;0,3333;0,0;1,0;1,0;5;5;0,5;0,5;0,5;0,3333;0,3333;0,3333;0,5;0,5;0,5;0,9014;0,8722;0,8865;medium;
T9108G0128Q0046;0,1667;0,0;0,5;0,0;0,0;1,0;1,0;1,0;0,0;1,0;1,0;3;3;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;medium;
T9108G0171Q0002;0,0;0,0;0,0;0,0;0,0;0,3333;0,0;0,0;0,0;0,5134;0,6;3;5;0,2857;0,3333;0,25;0,0;0,0;0,0;0,2857;0,3333;0,25;0,8617;0,8488;0,8552;medium;
T9108G0171Q0007;0,25;0,0;0,75;0,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;4;4;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;medium;
T9108G0171Q0020;0,0417;0,0;0,125;0,0;0,0;0,6667;0,5;0,0;0,0;0,7165;0,75;3;4;0,6667;0,6667;0,6667;0,5;0,5;0,5;0,6667;0,6667;0,6667;0,8983;0,8383;0,8673;medium;
T9108G0171Q0023;0,1222;0,0;0,3667;0,0;0,0;1,0;1,0;1,0;0,0;0,7165;0,75;3;4;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;0,9804;0,9368;0,9581;medium;
T9108G0171Q0031;0,0;0,0;0,0;0,0;0,0;0,5;0,0;0,0;0,0;0,6065;0,6667;2;3;0,5;0,5;0,5;0,0;0,0;0,0;0,5;0,5;0,5;0,9526;0,8734;0,9113;medium;
T9108G0171Q0039;0,0972;0,0;0,2917;0,0;0,0;0,75;0,6667;0,5;0,0;0,7788;0,8;4;5;0,75;0,75;0,75;0,6667;0,6667;0,6667;0,75;0,75;0,75;0,9702;0,9464;0,9581;medium;
T9108G0171Q0044;0,0972;0,0;0,2917;0,0;0,0;0,75;0,6667;0,5;0,0;0,7788;0,8;4;5;0,75;0,75;0,75;0,6667;0,6667;0,6667;0,75;0,75;0,75;0,9608;0,9557;0,9583;medium;
T9108G0171Q0049;0,0;0,0;0,0;0,0;0,0;0,5;0,0;0,0;0,0;1,0;1,0;2;2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,9199;0,9783;0,9482;medium;
T9108G0171Q0050;0,1222;0,0;0,3667;0,0;0,0;1,0;1,0;1,0;0,0;0,7165;0,75;3;4;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;0,9747;0,9395;0,9567;medium;
